,RESELLER,Discount
354,Answear,NO
355,Answear,YES
356,Answear,NO
357,Answear,NO
358,Answear,NO
359,Answear,NO
360,Answear,NO
361,Answear,YES
362,Answear,YES
363,Answear,YES
364,Answear,YES
365,Answear,YES
366,Answear,NO
367,Answear,NO
368,Answear,NO
369,Answear,NO
370,Answear,NO
371,Answear,NO
372,Answear,YES
373,Answear,YES
374,Answear,YES
375,Answear,YES
376,Answear,YES
377,Answear,YES
378,Answear,YES
379,Answear,YES
380,Answear,YES
381,Answear,YES
382,Answear,YES
383,Answear,YES
384,Answear,YES
385,Answear,YES
386,Answear,YES
387,Answear,YES
388,Answear,YES
389,Answear,YES
390,Answear,YES
391,Answear,YES
392,Answear,YES
393,Answear,NO
394,Answear,YES
395,Answear,YES
396,Answear,YES
397,Answear,YES
398,Answear,YES
399,Answear,YES
400,Answear,NO
401,Answear,YES
402,Answear,YES
403,Answear,YES
404,Answear,YES
405,Answear,YES
406,Answear,YES
407,Answear,YES
408,Answear,NO
409,Answear,YES
410,Answear,NO
411,Answear,YES
412,Answear,YES
413,Answear,YES
414,Answear,YES
415,Answear,YES
416,Answear,YES
417,Answear,YES
418,Answear,YES
419,Answear,YES
420,Answear,YES
421,Answear,YES
422,Answear,YES
423,Answear,YES
424,Answear,YES
425,Answear,YES
426,Answear,YES
427,Answear,YES
428,Answear,YES
429,Answear,YES
430,Answear,YES
431,Answear,YES
432,Answear,YES
433,Answear,YES
434,Answear,YES
435,Answear,YES
436,Answear,YES
437,Answear,YES
438,Answear,YES
439,Answear,YES
440,Answear,YES
441,Answear,YES
442,Answear,YES
443,Answear,YES
444,Answear,YES
445,Answear,YES
446,Answear,YES
447,Answear,YES
448,Answear,YES
449,Answear,YES
450,Answear,YES
451,Answear,YES
452,Answear,YES
453,Answear,YES
454,Answear,YES
455,Answear,YES
456,Answear,YES
457,Answear,YES
458,Answear,YES
459,Answear,YES
460,Answear,YES
461,Answear,YES
462,Answear,YES
463,Answear,YES
464,Answear,YES
465,Answear,YES
466,Answear,YES
467,Answear,YES
468,Answear,YES
469,Answear,YES
470,Answear,YES
471,Answear,YES
472,Answear,YES
473,Answear,YES
474,Answear,YES
475,Answear,YES
476,Answear,YES
477,Answear,YES
478,Answear,YES
479,Answear,YES
480,Answear,YES
481,Answear,YES
482,Answear,YES
483,Answear,YES
484,Answear,YES
485,Answear,YES
486,Answear,YES
487,Answear,YES
488,Answear,YES
489,Answear,YES
490,Answear,YES
491,Answear,YES
492,Answear,YES
493,Answear,YES
494,Answear,YES
495,Answear,YES
496,Answear,YES
497,Answear,YES
498,Answear,YES
499,Answear,NO
500,Answear,YES
501,Answear,YES
502,Answear,YES
503,Answear,YES
504,Answear,YES
505,Answear,YES
506,Answear,YES
507,Answear,YES
508,Answear,YES
509,Answear,YES
510,Answear,YES
511,Answear,YES
512,Answear,YES
513,Answear,YES
514,Answear,YES
515,Answear,YES
516,Answear,YES
517,Answear,YES
518,Answear,YES
519,Answear,YES
520,Answear,YES
521,Answear,YES
522,Answear,YES
523,Answear,YES
524,Answear,YES
525,Answear,YES
526,Answear,YES
527,Answear,YES
528,Answear,YES
529,Answear,YES
530,Answear,YES
531,Answear,YES
532,Answear,YES
533,Answear,YES
534,Answear,YES
535,Answear,YES
536,Answear,YES
537,Answear,YES
538,Answear,YES
539,Answear,YES
540,Answear,YES
541,Answear,YES
542,Answear,YES
543,Answear,YES
