,RESELLER,Discount
289,Vision Express,NO
290,Vision Express,NO
291,Vision Express,NO
292,Vision Express,NO
293,Vision Express,NO
294,Vision Express,NO
295,Vision Express,NO
296,Vision Express,NO
297,Vision Express,NO
298,Vision Express,NO
299,Vision Express,NO
300,Vision Express,NO
301,Vision Express,NO
302,Vision Express,NO
303,Vision Express,NO
304,Vision Express,NO
305,Vision Express,NO
306,Vision Express,NO
307,Vision Express,NO
308,Vision Express,NO
309,Vision Express,NO
310,Vision Express,NO
311,Vision Express,NO
312,Vision Express,NO
313,Vision Express,NO
314,Vision Express,NO
315,Vision Express,NO
316,Vision Express,NO
317,Vision Express,NO
318,Vision Express,NO
319,Vision Express,NO
320,Vision Express,NO
321,Vision Express,NO
322,Vision Express,NO
323,Vision Express,NO
324,Vision Express,NO
325,Vision Express,NO
326,Vision Express,NO
327,Vision Express,NO
328,Vision Express,NO
329,Vision Express,NO
330,Vision Express,NO
331,Vision Express,NO
332,Vision Express,NO
333,Vision Express,NO
334,Vision Express,NO
335,Vision Express,NO
336,Vision Express,NO
337,Vision Express,NO
338,Vision Express,NO
339,Vision Express,NO
340,Vision Express,NO
341,Vision Express,NO
342,Vision Express,NO
343,Vision Express,NO
344,Vision Express,NO
345,Vision Express,NO
346,Vision Express,NO
347,Vision Express,NO
348,Vision Express,NO
349,Vision Express,NO
350,Vision Express,NO
351,Vision Express,NO
352,Vision Express,NO
353,Vision Express,NO
354,Vision Express,NO
355,Vision Express,NO
356,Vision Express,NO
357,Vision Express,NO
358,Vision Express,NO
359,Vision Express,NO
360,Vision Express,NO
361,Vision Express,NO
362,Vision Express,NO
363,Vision Express,NO
364,Vision Express,NO
365,Vision Express,NO
366,Vision Express,NO
367,Vision Express,NO
368,Vision Express,NO
369,Vision Express,NO
370,Vision Express,NO
371,Vision Express,NO
372,Vision Express,NO
373,Vision Express,NO
374,Vision Express,NO
375,Vision Express,NO
376,Vision Express,NO
377,Vision Express,NO
378,Vision Express,NO
379,Vision Express,NO
380,Vision Express,NO
381,Vision Express,NO
382,Vision Express,NO
383,Vision Express,NO
384,Vision Express,NO
385,Vision Express,NO
386,Vision Express,NO
387,Vision Express,NO
388,Vision Express,NO
389,Vision Express,NO
390,Vision Express,NO
391,Vision Express,NO
392,Vision Express,NO
393,Vision Express,NO
394,Vision Express,NO
395,Vision Express,NO
396,Vision Express,NO
397,Vision Express,NO
398,Vision Express,NO
399,Vision Express,NO
400,OWS,NO
401,OWS,NO
402,OWS,NO
403,OWS,NO
404,OWS,NO
405,OWS,NO
406,OWS,NO
407,OWS,NO
408,OWS,NO
409,OWS,NO
410,OWS,NO
411,OWS,NO
412,OWS,NO
413,OWS,NO
414,OWS,NO
415,OWS,NO
416,OWS,NO
417,OWS,NO
418,OWS,NO
419,OWS,NO
420,OWS,NO
421,OWS,NO
422,OWS,NO
423,OWS,NO
424,OWS,NO
425,OWS,NO
426,OWS,NO
427,OWS,NO
428,OWS,NO
429,OWS,NO
430,OWS,NO
431,OWS,NO
432,OWS,NO
433,OWS,NO
434,OWS,NO
435,OWS,NO
436,OWS,NO
437,OWS,NO
438,OWS,NO
439,OWS,NO
440,OWS,NO
441,OWS,NO
442,OWS,NO
443,OWS,YES
444,OWS,YES
445,OWS,YES
446,OWS,YES
447,OWS,YES
448,OWS,YES
449,OWS,YES
450,OWS,YES
451,OWS,YES
452,OWS,YES
453,OWS,YES
454,OWS,NO
455,OWS,YES
456,OWS,YES
457,OWS,YES
458,OWS,YES
459,OWS,YES
460,OWS,YES
461,OWS,NO
462,OWS,YES
463,OWS,YES
464,OWS,YES
465,OWS,YES
466,OWS,YES
467,OWS,YES
468,OWS,YES
469,OWS,YES
470,OWS,YES
471,OWS,YES
472,OWS,YES
473,OWS,YES
474,OWS,YES
475,OWS,YES
476,OWS,YES
477,OWS,YES
478,OWS,YES
479,OWS,YES
480,OWS,YES
481,OWS,YES
482,OWS,YES
483,OWS,YES
484,OWS,YES
485,OWS,YES
486,OWS,YES
487,OWS,YES
488,OWS,YES
489,OWS,YES
490,OWS,YES
491,OWS,YES
492,OWS,YES
493,OWS,YES
494,OWS,YES
495,OWS,YES
496,OWS,YES
497,OWS,YES
498,OWS,YES
499,OWS,YES
500,OWS,YES
501,OWS,YES
502,OWS,YES
503,OWS,YES
504,OWS,YES
505,OWS,YES
506,OWS,YES
507,OWS,YES
508,OWS,YES
509,OWS,YES
510,OWS,YES
511,OWS,YES
512,OWS,NO
513,OWS,YES
514,OWS,YES
515,OWS,YES
516,OWS,YES
517,OWS,YES
518,OWS,YES
519,OWS,YES
520,OWS,YES
521,OWS,YES
522,OWS,YES
523,OWS,YES
524,OWS,YES
525,OWS,YES
526,OWS,YES
527,OWS,YES
528,OWS,YES
529,OWS,YES
530,OWS,YES
531,OWS,YES
532,OWS,YES
533,OWS,YES
534,OWS,YES
535,OWS,YES
536,OWS,YES
537,OWS,YES
538,OWS,YES
539,OWS,YES
540,OWS,YES
541,OWS,YES
542,OWS,YES
543,OWS,YES
544,OWS,YES
545,OWS,YES
546,OWS,YES
547,OWS,YES
548,OWS,YES
549,OWS,YES
550,OWS,YES
551,OWS,YES
552,OWS,YES
553,OWS,YES
554,OWS,YES
555,OWS,YES
556,OWS,YES
557,OWS,YES
558,OWS,YES
559,OWS,YES
560,OWS,YES
561,OWS,YES
562,OWS,YES
563,OWS,YES
564,OWS,YES
565,OWS,YES
566,OWS,YES
567,OWS,YES
568,OWS,YES
569,OWS,YES
570,OWS,YES
571,OWS,YES
572,OWS,YES
573,OWS,YES
574,OWS,YES
575,OWS,YES
576,OWS,YES
577,OWS,YES
578,OWS,YES
579,OWS,YES
580,OWS,YES
581,OWS,YES
582,OWS,YES
583,OWS,YES
584,OWS,YES
585,OWS,YES
586,OWS,YES
587,OWS,YES
588,OWS,YES
589,OWS,YES
590,OWS,YES
591,OWS,YES
592,OWS,YES
593,OWS,YES
594,OWS,YES
595,OWS,YES
596,OWS,YES
597,OWS,YES
598,OWS,YES
599,OWS,YES
600,OWS,YES
601,OWS,YES
602,OWS,YES
603,OWS,YES
604,OWS,YES
605,OWS,YES
606,OWS,YES
607,OWS,YES
608,OWS,YES
609,OWS,YES
610,OWS,YES
611,OWS,YES
612,OWS,YES
613,OWS,YES
614,OWS,YES
615,OWS,YES
616,OWS,YES
617,OWS,YES
618,OWS,YES
619,OWS,YES
620,OWS,YES
621,OWS,YES
622,OWS,YES
623,OWS,YES
624,OWS,YES
625,OWS,YES
626,OWS,YES
627,OWS,YES
628,OWS,YES
629,OWS,YES
630,OWS,YES
631,OWS,YES
632,OWS,YES
633,OWS,YES
634,OWS,YES
635,OWS,NO
636,OWS,NO
637,OWS,NO
638,OWS,NO
639,OWS,NO
640,OWS,NO
641,OWS,NO
642,OWS,NO
643,OWS,NO
644,OWS,NO
645,OWS,NO
646,OWS,NO
647,OWS,NO
648,OWS,NO
649,OWS,NO
650,OWS,NO
651,OWS,NO
652,OWS,NO
653,OWS,NO
654,OWS,NO
655,OWS,NO
656,OWS,NO
657,OWS,NO
658,OWS,NO
659,OWS,NO
660,OWS,NO
661,OWS,NO
662,OWS,NO
663,OWS,NO
664,OWS,NO
665,OWS,NO
666,OWS,NO
667,OWS,NO
668,OWS,NO
669,OWS,NO
670,OWS,NO
671,OWS,NO
672,OWS,NO
673,OWS,NO
674,OWS,NO
675,OWS,NO
676,OWS,NO
677,OWS,NO
678,OWS,NO
679,OWS,NO
680,OWS,NO
681,OWS,NO
682,OWS,NO
683,OWS,NO
684,OWS,NO
